,Property Type,Price,Address,Locality,Beds,Baths,Home Size,Lot Size,Garage,Link,Construction
0,House for Sale,"$405,000",NOT LISTED,"Sacramento, CA 95826",4 bed,2 bath,"1,736 sqft","6,242 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/8436-Citadel-Way_Sacramento_CA_95826_M29840-75286,
1,House for Sale,"$3,750,000",2002 Fox Hollow Ln,"Sacramento, CA 95864",4 bed,5.5 bath,"9,807 sqft",0.85 acres lot,3 car,https://www.realtor.com/realestateandhomes-detail/2002-Fox-Hollow-Ln_Sacramento_CA_95864_M91902-32304,
2,House for Sale,"$640,000",1423 54th St,"Sacramento, CA 95819",4 bed,2 bath,"1,613 sqft","6,094 sqft lot",1 car,https://www.realtor.com/realestateandhomes-detail/1423-54th-St_Sacramento_CA_95819_M23773-04913,
3,House for Sale,"$299,900",4340 23rd St,"Sacramento, CA 95822",3 bed,1 bath,"1,096 sqft","4,356 sqft lot",NOT LISTED,https://www.realtor.com/realestateandhomes-detail/4340-23rd-St_Sacramento_CA_95822_M13820-69280,
4,House for Sale,"$247,000",3121 Bakula Way,"Sacramento, CA 95864",3 bed,2 bath,"1,200 sqft","5,227 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/3121-Bakula-Way_Sacramento_CA_95864_M18885-74672,
5,Mfd/Mobile Home,"$199,888",7436 Bouvais Cir,"Sacramento, CA 95828",2 bed,2 bath,"1,160 sqft",NOT LISTED,yes car,https://www.realtor.com/realestateandhomes-detail/7436-Bouvais-Cir_Sacramento_CA_95828_M20800-14251,
6,Condo/Townhome,"$185,000",2294 Woodside Ln Unit 14,"Sacramento, CA 95825",1 bed,1 bath,701 sqft,"4,670 sqft lot",NOT LISTED,https://www.realtor.com/realestateandhomes-detail/2294-Woodside-Ln-Unit-14_Sacramento_CA_95825_M25351-76040,
7,House for Sale,"$430,000",23 Heathmere Ct,"Sacramento, CA 95833",3 bed,2 bath,"1,543 sqft","5,985 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/23-Heathmere-Ct_Sacramento_CA_95833_M13087-53873?ex=CA2558064354,
8,House for Sale,"$295,000",3431 Shady Ln,"Sacramento, CA 95821",3 bed,1 bath,"1,219 sqft",0.3 acres lot,1 car,https://www.realtor.com/realestateandhomes-detail/3431-Shady-Ln_Sacramento_CA_95821_M22095-94874,
9,House for Sale,"$329,000",3713 Ripley St,"Sacramento, CA 95838",3 bed,2 bath,"1,203 sqft","7,405 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/3713-Ripley-St_Sacramento_CA_95838_M20081-72454,
10,House for Sale,"$245,000",3717 22nd Ave,"Sacramento, CA 95820",3 bed,1 bath,864 sqft,"5,227 sqft lot",NOT LISTED,https://www.realtor.com/realestateandhomes-detail/3717-22nd-Ave_Sacramento_CA_95820_M16331-67201,
11,House for Sale,"$325,000",3578 Binghamton Dr,"Sacramento, CA 95834",4 bed,2.5 bath,"1,419 sqft","5,663 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/3578-Binghamton-Dr_Sacramento_CA_95834_M17764-52824,
12,House for Sale,"$499,900",5767 Lolet Way,"Sacramento, CA 95835",4 bed,3 bath,"2,723 sqft","5,898 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/5767-Lolet-Way_Sacramento_CA_95835_M12229-84517,
13,Condo/Townhome,"$239,950",5881 Gloria Dr Apt 3,"Sacramento, CA 95822",0 bed,2 bath,"1,114 sqft","1,114 sqft lot",1 car,https://www.realtor.com/realestateandhomes-detail/5881-Gloria-Dr-Apt-3_Sacramento_CA_95822_M26088-64107,
14,House for Sale,"$799,000",541 42nd St,"Sacramento, CA 95819",4 bed,2 bath,"2,470 sqft","4,539 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/541-42nd-St_Sacramento_CA_95819_M20172-78643,
15,House for Sale,"$369,950",320 Picasso Cir,"Sacramento, CA 95835",3 bed,2 bath,"1,718 sqft","3,868 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/320-Picasso-Cir_Sacramento_CA_95835_M29686-26397,
16,House for Sale,"$599,500",4625 Parker Ave,"Sacramento, CA 95820",11 bed,5 bath,"3,822 sqft",0.3 acres lot,2 car,https://www.realtor.com/realestateandhomes-detail/4625-Parker-Ave_Sacramento_CA_95820_M16580-60850,
